admin4pcode,month,beneficiaries,cluster
C1038,apr,752,Cash
C1038,feb,1860,Cash
C1138,mar,392,Cash
C1139,apr,470,Cash
C1139,feb,566,Cash
C1139,mar,10360,Cash
C1143,apr,1435,Cash
C1188,jan,283,Cash
C1188,mar,516,Cash
C1202,apr,2130,Cash
C1202,jan,402,Cash
C1209,jan,268,Cash
C1209,mar,554,Cash
C1352,apr,25,Cash
C1359,apr,150,Cash
C1362,mar,795,Cash
C1366,apr,6154,Cash
C1366,feb,3081,Cash
C1366,jan,660,Cash
C1366,mar,9186,Cash
C1372,apr,50,Cash
C1374,apr,65,Cash
C1376,apr,255,Cash
C1381,apr,175,Cash
C1382,apr,15,Cash
C1386,apr,125,Cash
C1388,apr,125,Cash
C1391,mar,1405,Cash
C1394,mar,35,Cash
C1395,mar,30,Cash
C1397,mar,30,Cash
C1398,mar,45,Cash
C1399,mar,5,Cash
C1400,mar,5,Cash
C1401,mar,75,Cash
C1402,mar,30,Cash
C1403,mar,65,Cash
C1404,mar,25,Cash
C1405,mar,15,Cash
C1406,mar,5,Cash
C1407,mar,5,Cash
C1408,mar,15,Cash
C1411,mar,5,Cash
C1412,mar,20,Cash
C1413,mar,105,Cash
C1414,mar,25,Cash
C1415,mar,5,Cash
C1416,mar,55,Cash
C1417,mar,15,Cash
C1418,mar,25,Cash
C1419,mar,415,Cash
C1420,apr,0,Cash
C1421,mar,295,Cash
C1422,feb,565,Cash
C1422,mar,315,Cash
C1423,feb,450,Cash
C1423,mar,5,Cash
C1426,apr,8830,Cash
C1426,feb,27420,Cash
C1426,jan,137,Cash
C1426,mar,12574,Cash
C1428,feb,385,Cash
C1428,mar,230,Cash
C1430,apr,0,Cash
C1430,mar,210,Cash
C1431,mar,1198,Cash
C1433,mar,1082,Cash
C1435,mar,210,Cash
C1436,feb,340,Cash
C1436,mar,60,Cash
C1437,feb,825,Cash
C1438,mar,130,Cash
C1439,mar,445,Cash
C1441,feb,255,Cash
