admin4pcode,month,beneficiaries,cluster
C1574,feb,8083,WASH
C1574,mar,6280,WASH
C1575,jan,0,WASH
C1576,jan,0,WASH
C1577,feb,1079,WASH
C1577,jan,1079,WASH
C1577,mar,1079,WASH
C1579,feb,0,WASH
C1579,jan,0,WASH
C1579,mar,0,WASH
C1581,feb,0,WASH
C1581,mar,0,WASH
C1582,feb,0,WASH
C1582,jan,0,WASH
C1582,mar,0,WASH
C1588,feb,0,WASH
C1588,jan,0,WASH
C1588,mar,0,WASH
C1591,feb,4348,WASH
C1591,jan,0,WASH
C1591,mar,4348,WASH
C1594,mar,0,WASH
C1595,feb,0,WASH
C1595,mar,0,WASH
C1597,feb,4188,WASH
C1597,jan,1530,WASH
C1597,mar,2169,WASH
C1600,feb,0,WASH
C1600,jan,0,WASH
C1600,mar,0,WASH
C1604,mar,0,WASH
C1605,feb,3416,WASH
C1605,jan,0,WASH
C1605,mar,3103,WASH
C1609,feb,743,WASH
C1609,mar,743,WASH
C1615,feb,715,WASH
C1632,feb,429,WASH
C1632,mar,476,WASH
C1642,feb,0,WASH
C1642,mar,0,WASH
C1643,feb,2152,WASH
C1643,jan,0,WASH
C1643,mar,3546,WASH
C1658,feb,2500,WASH
C1658,jan,0,WASH
C1658,mar,2500,WASH
C1664,jan,0,WASH
C1664,mar,0,WASH
C1665,mar,0,WASH
C1667,feb,11313,WASH
C1667,jan,10762,WASH
C1667,mar,11313,WASH
C1671,feb,5221,WASH
C1671,mar,5221,WASH
C1672,feb,2767,WASH
C1672,mar,4293,WASH
C2213,feb,685,WASH
C2213,jan,685,WASH
C2213,mar,685,WASH
C2215,jan,0,WASH
C2216,jan,0,WASH
C2218,mar,0,WASH
C2219,jan,0,WASH
C2220,feb,2117,WASH
C2220,jan,5449,WASH
C2220,mar,5449,WASH
C2222,jan,0,WASH
C2224,feb,0,WASH
C2225,jan,640,WASH
C2225,mar,640,WASH
C2227,feb,10622,WASH
C2227,jan,5296,WASH
C2227,mar,10807,WASH
C2236,mar,0,WASH
C2238,feb,2773,WASH
C2238,jan,3066,WASH
C2238,mar,4920,WASH
C2250,feb,5481,WASH
C2250,jan,5481,WASH
C2250,mar,5481,WASH
C2254,feb,663,WASH
C2254,jan,663,WASH
C2254,mar,663,WASH
C2262,jan,0,WASH
C2263,feb,730,WASH
C2263,jan,730,WASH
C2263,mar,730,WASH
C2268,feb,869,WASH
C2268,jan,869,WASH
C2268,mar,869,WASH
C3170,feb,0,WASH
C3867,jan,0,WASH
C3867,mar,0,WASH
C3868,mar,0,WASH
C3871,feb,4262,WASH
C3871,jan,5899,WASH
C3871,mar,8471,WASH
C3872,feb,0,WASH
C3872,jan,0,WASH
C3872,mar,0,WASH
C3873,feb,0,WASH
C3873,jan,894,WASH
C3873,mar,890,WASH
C3875,feb,1284,WASH
C3875,jan,1110,WASH
C3875,mar,1315,WASH
C3876,feb,0,WASH
C3876,mar,0,WASH
C3877,mar,0,WASH
C3878,feb,0,WASH
C3878,mar,0,WASH
C3879,jan,1103,WASH
C3879,mar,1156,WASH
C3904,feb,0,WASH
C3904,jan,0,WASH
C3904,mar,0,WASH
C3905,feb,647,WASH
C3905,jan,660,WASH
C3905,mar,647,WASH
C3906,feb,1411,WASH
C3906,jan,980,WASH
C3906,mar,1411,WASH
C3932,feb,0,WASH
C3932,jan,0,WASH
