district,sub_district,community,Cash,Education,FSL,Nutrition,Protection,SNFI,WASH,CCCM,ERL,beneficiary_frequencies,total_pop,admin4pcode
Afrin,Ma'btali,Al-Rahmaniyah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,904,C8216
Afrin,Ma'btali,Lower Al-Thahrah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666,C8220
A'zaz,A'zaz,Al-Malikeyyeh (A'zaz),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,C1563
A'zaz,A'zaz,Kafr Khasher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C1567
A'zaz,A'zaz,Manaq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C1569
A'zaz,A'zaz,Maraanaz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C1570
A'zaz,A'zaz,Judaydah Ma'arin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,C7549
A'zaz,Aghtrin,Bayada - Aq Burhan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1059,C1580
A'zaz,Aghtrin,Oweilin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,429,C1587
A'zaz,Aghtrin,Tweis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C1589
A'zaz,Aghtrin,Taanah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,C1590
A'zaz,Aghtrin,Samuqet Aazaz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C1596
A'zaz,Aghtrin,Eskar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C1598
A'zaz,Aghtrin,Qabtan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1094,C1611
A'zaz,Aghtrin,Miserefe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,C7476
A'zaz,Aghtrin,Tuwainiyah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,620,C7487
A'zaz,Aghtrin,Beit Misto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418,C7492
A'zaz,Aghtrin,Al Salihiyah Maree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,833,C7502
A'zaz,Aghtrin,Tal Jijan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C8158
A'zaz,Aghtrin,Jubb Al-Asi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,C8173
