district,sub_district,community,Cash,Education,FSL,Nutrition,Protection,SNFI,WASH,CCCM,ERL,beneficiary_frequencies,total_pop,admin4pcode
Al Bab,A'rima,Mseibin(Al-Bab),NA,NA,3200,NA,NA,NA,NA,NA,NA,3200,390,C8185
Ariha,Mhambal,Al Iraqiyah,NA,NA,200,446,NA,NA,2520,NA,NA,3166,708,C7259
Jarablus,Jarablus,Big Majra,NA,NA,3148,NA,NA,NA,NA,NA,NA,3148,1488,C2235
Jarablus,Jarablus,Dabis,NA,NA,3020,118,NA,NA,NA,NA,NA,3138,992,C2217
Afrin,Ma'btali,Awlad El Arab - Arab Oshagi,634,NA,2500,NA,NA,NA,NA,NA,NA,3134,1327,C1548
Al Bab,A'rima,Tarhin,NA,NA,2300,NA,NA,NA,798,NA,NA,3098,3793,C1345
Jisr-Ash-Shugur,Darkosh,Haj Nayef ,NA,NA,NA,358,NA,NA,2732,NA,NA,3090,801,C8339
Jarablus,Ghandorah,Tal Ali - Karbajli,NA,NA,3078,NA,NA,NA,NA,NA,NA,3078,633,C2245
Harim,Kafr Takharim,Kuku - Ein Eljaj,NA,NA,NA,NA,NA,NA,3078,NA,NA,3078,948,C4160
Harim,Armanaz,Fasouq,NA,NA,NA,1047,NA,NA,2031,NA,NA,3078,1181,C6737
Jarablus,Ghandorah,Lilawa,NA,NA,1094,NA,NA,NA,1930,NA,NA,3024,1180,C2268
Afrin,Jandairis,Freiriyeh,NA,NA,2952,1,NA,NA,NA,NA,NA,2953,4172,C1446
Afrin,Afrin,Khaldiyet Afrin,NA,NA,455,NA,NA,NA,2461,NA,NA,2916,5095,C1364
Afrin,Afrin,Kawkabeh (Afrin),175,2,717,NA,NA,NA,2007,NA,NA,2901,899,C1381
Jisr-Ash-Shugur,Badama,Baksariya,7,NA,1601,891,10,383,NA,NA,NA,2892,4448,C4223
Jebel Saman,Daret Azza,Kafrantin,NA,10,2725,107,NA,NA,NA,NA,NA,2842,4836,C1149
Afrin,Jandairis,Hajilar,NA,NA,1141,10,NA,NA,1670,NA,NA,2821,714,C8150
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Maalaqa - Bishlamon,NA,NA,744,574,NA,NA,1500,NA,NA,2818,3503,C4190
Afrin,Afrin,Kafir (Afrin),NA,NA,2796,NA,NA,NA,NA,NA,NA,2796,1560,C1390
Al Bab,A'rima,Zamka,NA,NA,2786,NA,NA,NA,NA,NA,NA,2786,380,C6770
Afrin,Jandairis,Lower-Marwana,NA,NA,1895,102,NA,NA,772,NA,NA,2769,386,C6399
Al Bab,A'rima,Little Sukariyeh,NA,NA,2760,NA,NA,NA,NA,NA,NA,2760,2150,C1322
Idleb,Maaret Tamsrin,Taltuneh,327,NA,790,11,NA,NA,1605,NA,NA,2733,3159,C3940
Idleb,Idleb,Falyun,NA,7,2723,NA,NA,NA,NA,NA,NA,2730,11009,C3877
Afrin,Ma'btali,Ayn Al-Hajar,NA,NA,178,NA,NA,38,2511,NA,NA,2727,1763,C8209
Afrin,Jandairis,Western Khaltan,400,NA,433,144,NA,NA,1672,NA,NA,2649,836,C1436
Al Bab,A'rima,Um Adae Ajami,NA,NA,2640,NA,NA,NA,NA,NA,NA,2640,757,C1342
Jisr-Ash-Shugur,Darkosh,Sadiyeh - Bsentiya,NA,2,628,982,NA,NA,1019,NA,NA,2631,1859,C4246
Harim,Kafr Takharim,Jadeen,NA,NA,55,1490,NA,NA,1071,NA,NA,2616,501,C4156
Afrin,Jandairis,Burj Kmush,615,NA,1286,49,NA,NA,650,NA,NA,2600,380,C1428
A'zaz,Suran,Qara Kubri,NA,0,2580,NA,NA,NA,NA,NA,NA,2580,635,C8239
Al Bab,A'rima,Shdar,NA,NA,2572,NA,NA,NA,NA,NA,NA,2572,1188,C1343
Ariha,Ariha,Kafraziba,NA,2,2462,98,NA,NA,NA,NA,NA,2562,2991,C4282
Al Bab,Al Bab,Maqri,NA,NA,2550,NA,NA,NA,NA,NA,NA,2550,2102,C1193
Jarablus,Jarablus,Tall Shair,NA,NA,1480,NA,NA,NA,1053,NA,NA,2533,351,C7665
A'zaz,Suran,Dweibeq,NA,NA,2531,NA,NA,NA,NA,NA,NA,2531,5890,C1659
Al Bab,Al Bab,Tal Jerji,NA,NA,50,NA,NA,NA,2477,NA,NA,2527,1602,C1199
Jarablus,Jarablus,Qirata (Jarablus),NA,NA,2520,NA,NA,NA,NA,NA,NA,2520,1891,C2237
Afrin,Jandairis,Koran Jandris,1125,NA,1040,176,167,NA,NA,NA,NA,2508,1497,C1447
Ariha,Ariha,Bab Ellah,NA,2,1733,730,38,NA,NA,NA,NA,2503,2957,C4271
Jarablus,Ghandorah,Hajar Elabyad,NA,NA,2500,NA,NA,NA,NA,NA,NA,2500,806,C2249
Jarablus,Ghandorah,Forsan - Sabahiler,NA,NA,2486,NA,NA,NA,NA,NA,NA,2486,274,C2252
Afrin,Jandairis,Upper Diwan,1198,NA,1246,17,NA,NA,NA,NA,NA,2461,610,C1431
Afrin,Jandairis,Haji Hasanli,835,NA,383,16,NA,NA,1210,NA,NA,2444,913,C8184
Afrin,Jandairis,Jum Afrin,295,NA,1030,50,NA,NA,1054,NA,NA,2429,527,C1421
Jarablus,Ghandorah,Ghassaniyeh - Jrables,NA,NA,2425,NA,NA,NA,NA,NA,NA,2425,579,C2251
Ariha,Mhambal,Sararif,NA,NA,2235,170,NA,NA,NA,NA,NA,2405,1344,C4315
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Bsheiriyeh - Bello,NA,5,322,2067,NA,NA,NA,NA,NA,2394,5846,C4193
Jarablus,Jarablus,Yusef Elbeik,NA,NA,2350,NA,NA,NA,NA,NA,NA,2350,1150,C2236
Ariha,Ariha,Bazabur,NA,2,2267,32,40,NA,NA,NA,NA,2341,2989,C4268
Jebel Saman,Daret Azza,Qatoura,605,10,44,320,NA,NA,1360,NA,NA,2339,4243,C8116
Jarablus,Ghandorah,Jeb Eldam Jrables,NA,NA,1020,NA,NA,NA,1300,NA,NA,2320,1630,C2262
Jarablus,Jarablus,Hadra - Big Baldaq,NA,NA,2262,32,NA,NA,NA,NA,NA,2294,285,C2231
A'zaz,Aghtrin,Wash,NA,NA,786,20,31,NA,1430,NA,NA,2267,1353,C1615
Al Bab,Al Bab,Saflaniyeh,NA,NA,2260,NA,NA,NA,NA,NA,NA,2260,1930,C1200
Al Bab,A'rima,Olasha,NA,NA,2245,NA,NA,NA,NA,NA,NA,2245,1246,C1328
Ariha,Ariha,Majdaliya,NA,1,2068,146,13,NA,NA,NA,NA,2228,499,C4280
A'zaz,Aghtrin,Zayadiyeh,NA,0,NA,13,214,NA,2000,NA,NA,2227,7782,C1579
Ariha,Ariha,Ebneh,NA,4,2200,12,NA,NA,NA,NA,NA,2216,2435,C4277
Jisr-Ash-Shugur,Darkosh,Sawadiya - Nabhan,NA,NA,528,713,533,NA,426,NA,NA,2200,3062,C4236
Jisr-Ash-Shugur,Darkosh,Sheikh Issa Elashury,62,5,566,1165,NA,371,NA,NA,NA,2169,1174,C4251
Ariha,Ehsem,Marayan,NA,NA,1000,1140,NA,NA,NA,NA,NA,2140,2566,C4308
Jarablus,Ghandorah,Shahid,NA,NA,2130,NA,NA,NA,NA,NA,NA,2130,485,C2261
Afrin,Jandairis,Koban,240,NA,1201,5,NA,NA,662,NA,NA,2108,331,C7490
A'zaz,Aghtrin,Jakkeh,NA,NA,573,NA,NA,NA,1514,NA,NA,2087,757,C1600
Jarablus,Ghandorah,Sabuniyeh (Ghandorah),NA,NA,2084,NA,NA,NA,NA,NA,NA,2084,675,C2255
A'zaz,Aghtrin,Western Tal Aar,NA,2,NA,156,49,NA,1874,NA,NA,2081,1904,C1595
Jisr-Ash-Shugur,Janudiyeh,Mudiah - Luxin,2064,NA,NA,NA,NA,NA,NA,NA,NA,2064,571,C4261
Ariha,Ehsem,Marata (Ehsem),NA,2,1815,199,NA,NA,NA,NA,NA,2016,1407,C4307
Jarablus,Jarablus,Mahsana - Mahsanli,NA,NA,2000,NA,NA,NA,NA,NA,NA,2000,1106,C2232
Afrin,Ma'btali,Arab-Shekho,NA,NA,2000,NA,NA,NA,NA,NA,NA,2000,353,C6401
Al Bab,A'rima,Kreidiyeh,NA,NA,1997,NA,NA,NA,NA,NA,NA,1997,1644,C1330
Harim,Kafr Takharim,Abarita,595,NA,75,NA,NA,NA,1296,NA,NA,1966,770,C4152
Jarablus,Jarablus,Mazaalah,NA,0,1954,NA,NA,NA,NA,NA,NA,1954,1122,C2240
Harim,Salqin,Hamra (Salqin),398,NA,NA,NA,NA,NA,1516,NA,NA,1914,646,C6621
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Al Marj Al Akhdar,NA,NA,NA,1909,NA,NA,NA,NA,NA,1909,277,C8387
Jisr-Ash-Shugur,Janudiyeh,Nasra (Janudiyeh),NA,NA,1900,NA,NA,NA,NA,NA,NA,1900,875,C4262
Harim,Salqin,Aljib,852,NA,NA,NA,NA,NA,1023,NA,NA,1875,429,C6694
Ariha,Ariha,Al Mokbelah,NA,2,884,78,22,NA,879,NA,NA,1865,918,C6715
Ariha,Mhambal,Hila,NA,2,1460,402,NA,NA,NA,NA,NA,1864,2389,C4328
Harim,Salqin,Kafrahlat Jallad,NA,NA,NA,1849,NA,NA,NA,NA,NA,1849,674,C4150
Jarablus,Jarablus,Halawanji,NA,NA,1829,NA,NA,NA,NA,NA,NA,1829,1368,C2214
Afrin,Afrin,Kafr Zeid,NA,NA,1805,NA,NA,NA,NA,NA,NA,1805,364,C1389
Jebel Saman,Atareb,Halazon,NA,14,668,1086,36,NA,NA,NA,NA,1804,5875,C6424
Al Bab,Al Bab,Qdeiran,NA,NA,1802,NA,1,NA,NA,NA,NA,1803,1853,C1211
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Ein Elsoda (Jisr-Ash-Shugur),275,2,NA,1494,NA,NA,NA,NA,NA,1771,2506,C4204
Jarablus,Jarablus,Qandariya,NA,NA,1768,NA,NA,NA,NA,NA,NA,1768,922,C2241
Afrin,Jandairis,Baflur,NA,NA,600,NA,NA,NA,1161,NA,NA,1761,387,C8156
Afrin,Sharan,Maydan Afrin,NA,NA,7,1753,NA,NA,NA,NA,NA,1760,4053,C1505
Ariha,Ariha,Moataf,NA,2,1733,16,NA,NA,NA,NA,NA,1751,1917,C4287
Jarablus,Ghandorah,Little Arab Hasan,NA,NA,1734,NA,NA,NA,NA,NA,NA,1734,781,C2256
Jisr-Ash-Shugur,Darkosh,Al Msherfeh,NA,NA,669,1059,NA,NA,NA,NA,NA,1728,800,C8407
Afrin,Ma'btali,Bermaja,NA,NA,1680,42,NA,NA,NA,NA,NA,1722,625,C1535
Jarablus,Jarablus,Lower Bir,NA,NA,170,10,NA,NA,1527,NA,NA,1707,467,C2216
Al Bab,Al Bab,Olan,NA,NA,285,NA,NA,NA,1410,NA,NA,1695,2029,C1204
Afrin,Ma'btali,Yakhur - Ayki Yakhur,481,NA,1200,NA,NA,NA,NA,NA,NA,1681,704,C1555
Ariha,Ariha,Nahleh,NA,2,1200,448,27,NA,NA,NA,NA,1677,1858,C4284
Jisr-Ash-Shugur,Badama,Shaturiyeh,NA,20,1006,NA,638,NA,NA,NA,NA,1664,2074,C4232
Afrin,Afrin,Ghazawiyet Afrin,NA,NA,325,906,334,NA,85,NA,NA,1650,5353,C1378
Jisr-Ash-Shugur,Janudiyeh,Qaderiyeh - Qayqun,17,NA,75,NA,NA,75,1450,NA,NA,1617,1604,C4258
Afrin,Ma'btali,Big Dar,NA,NA,1609,NA,NA,NA,NA,NA,NA,1609,1404,C1542
Jarablus,Jarablus,Himar,NA,NA,1600,NA,NA,NA,NA,NA,NA,1600,1425,C2229
Afrin,Jandairis,Nisriyeh,445,NA,NA,NA,NA,NA,1148,NA,NA,1593,704,C1439
Afrin,Jandairis,Hikageh,NA,NA,NA,NA,NA,NA,1587,NA,NA,1587,529,C8166
Jarablus,Jarablus,Sreisat,NA,NA,1584,NA,NA,NA,NA,NA,NA,1584,1033,C2230
Ariha,Ariha,Thaheriya (Ariha),NA,NA,1256,315,NA,NA,NA,NA,NA,1571,930,C4272
Ariha,Mhambal,Anb,NA,5,1362,198,3,NA,NA,NA,NA,1568,1426,C4323
Idleb,Maaret Tamsrin,Kafr tanor,NA,NA,159,1037,20,346,NA,NA,NA,1562,1990,C6690
Ariha,Ariha,Shinan (Ariha),NA,4,1425,131,NA,NA,NA,NA,NA,1560,3815,C4275
Afrin,Afrin,Khadraa,NA,NA,1539,NA,NA,NA,NA,NA,NA,1539,1200,C1365
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Jannet Elqora,NA,NA,667,872,NA,NA,NA,NA,NA,1539,1212,C4208
Ariha,Mhambal,Baydar Shamsu,NA,NA,1527,NA,NA,NA,NA,NA,NA,1527,1208,C4310
Jisr-Ash-Shugur,Badama,Armala,NA,NA,1513,NA,NA,NA,NA,NA,NA,1513,2801,C4227
Jisr-Ash-Shugur,Darkosh,Andnaniyeh - Farjein,448,8,707,1,NA,NA,336,NA,NA,1500,1837,C4248
Jisr-Ash-Shugur,Janudiyeh,Hassaniyeh - Hatya,NA,NA,500,0,NA,NA,1000,NA,NA,1500,2177,C4257
A'zaz,Suran,Shweirin,NA,NA,1153,NA,345,NA,NA,NA,NA,1498,1925,C1660
Afrin,Afrin,Mreimin Afrin,125,NA,NA,1365,NA,NA,NA,NA,NA,1490,11288,C1386
Afrin,Jandairis,Hmlak-Hmelek,880,NA,593,7,NA,NA,NA,NA,NA,1480,445,C6397
Afrin,Jandairis,Zanda,130,NA,651,1,NA,NA,690,NA,NA,1472,343,C1438
Jarablus,Ghandorah,Qubbet Elturkman,NA,NA,NA,NA,NA,NA,1460,NA,NA,1460,1330,C2263
Al Bab,A'rima,A'rima,NA,NA,1400,NA,NA,NA,46,NA,NA,1446,3370,C1329
Jarablus,Jarablus,Thahr Elmaghayer,NA,NA,1432,NA,NA,NA,NA,NA,NA,1432,1056,C2221
Jarablus,Ghandorah,Arab Azzah,NA,NA,1396,NA,NA,NA,NA,NA,NA,1396,543,C2242
Afrin,Sharan,Ser - Sarnjak,41,NA,1340,NA,NA,NA,NA,NA,NA,1381,1388,C1508
Afrin,Raju,Hamshu - Hamashtlak,NA,NA,796,NA,81,NA,500,NA,NA,1377,1815,C1452
Jarablus,Ghandorah,Hmeireh - Ashkaji,NA,NA,1376,NA,NA,NA,NA,NA,NA,1376,495,C2258
Al Bab,A'rima,Tabjaq,NA,NA,NA,NA,NA,NA,1372,NA,NA,1372,335,C8199
Ariha,Ehsem,Abdita,NA,2,1280,82,NA,NA,NA,NA,NA,1364,1087,C4291
Jarablus,Ghandorah,Thaheriya Jrables,NA,0,1363,NA,NA,NA,NA,NA,NA,1363,535,C2257
Afrin,Jandairis,Qila,115,NA,107,2,NA,NA,1125,NA,NA,1349,375,C8160
Ariha,Ariha,Maarbalit,NA,NA,1333,14,NA,NA,NA,NA,NA,1347,1209,C4285
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Sokkariyeh (Jisr-Ash-Shugur),445,2,NA,869,27,NA,NA,NA,NA,1343,1536,C4210
Afrin,Sharan,Shaltah,225,NA,1080,NA,NA,NA,NA,NA,NA,1305,659,C8292
Al Bab,Al Bab,Brat,NA,NA,1249,NA,50,NA,NA,NA,NA,1299,498,C8149
Ariha,Mhambal,Northern Laj,NA,2,935,348,NA,NA,NA,NA,NA,1285,2161,C4316
Harim,Salqin,Foziyeh,343,NA,NA,NA,NA,NA,937,NA,NA,1280,305,C4135
Harim,Qourqeena,Banabel,NA,NA,NA,1279,NA,NA,NA,NA,NA,1279,1800,C4162
A'zaz,Suran,Odaya,NA,NA,1270,NA,NA,NA,NA,NA,NA,1270,1414,C1668
Jarablus,Ghandorah,Kuliyeh,NA,NA,1270,NA,NA,NA,NA,NA,NA,1270,625,C2247
Jarablus,Ghandorah,Sheineh,NA,NA,1259,NA,NA,NA,NA,NA,NA,1259,580,C2248
Al Bab,Al Bab,Sheikh Jarrah,NA,NA,1258,NA,NA,NA,NA,NA,NA,1258,1083,C1195
A'zaz,Aghtrin,Khalfatli,NA,NA,428,NA,NA,NA,824,NA,NA,1252,824,C1576
Al Bab,A'rima,Um Shakif,NA,NA,1240,NA,NA,NA,NA,NA,NA,1240,1064,C1341
Afrin,Jandairis,Khureibah/Qurbe,768,NA,465,0,NA,NA,NA,NA,NA,1233,723,C8161
Ariha,Ariha,Berjhab,NA,NA,1227,NA,NA,NA,NA,NA,NA,1227,1865,C4276
Afrin,Ma'btali,Kantara Ma'abatli,NA,NA,1065,90,69,NA,NA,NA,NA,1224,296,C7522
Ariha,Ariha,Al-Qiyasat,NA,NA,NA,13,NA,NA,1206,NA,NA,1219,1402,C7958
Afrin,Raju,Masikan,NA,2,809,NA,NA,NA,404,NA,NA,1215,1728,C1491
Harim,Armanaz,Al Gharraf,39,NA,365,NA,NA,228,581,NA,NA,1213,546,C6741
Al Bab,A'rima,Kundurli,NA,NA,1200,NA,NA,NA,NA,NA,NA,1200,899,C8175
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Bzeit,NA,4,625,554,NA,NA,NA,NA,NA,1183,2052,C4200
Jebel Saman,Atareb,Kafr Noran,NA,19,NA,NA,NA,NA,1155,NA,NA,1174,4100,C1041
A'zaz,A'zaz,Yahmul,NA,NA,185,NA,NA,NA,982,NA,50,1167,982,C1571
Afrin,Jandairis,Sheikh Abel Rahman,415,NA,750,NA,NA,NA,NA,NA,NA,1165,386,C1419
Afrin,Afrin,Al Jumaliyah,NA,NA,NA,NA,NA,NA,1164,NA,NA,1164,256,C7515
Ariha,Ehsem,Balshun,NA,2,905,177,77,NA,NA,NA,NA,1161,1890,C4296
Al Bab,Al Bab,Noman,NA,NA,NA,NA,1,NA,1158,NA,NA,1159,1199,C1213
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Ziyadiyeh (Jisr-Ash-Shugur),NA,NA,1000,131,12,NA,NA,NA,NA,1143,2387,C7930
Afrin,Raju,Maamel - Oshagi,NA,2,1133,NA,NA,NA,NA,NA,NA,1135,1492,C1457
A'zaz,Suran,Touqi,NA,NA,250,NA,NA,NA,878,NA,NA,1128,878,C8223
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Tal Awar,NA,NA,975,136,14,NA,NA,NA,NA,1125,1209,C4217
Jarablus,Jarablus,Little Majra,NA,NA,1106,NA,NA,NA,NA,NA,NA,1106,554,C2239
Afrin,Afrin,Bablit,NA,NA,840,NA,265,NA,NA,NA,NA,1105,541,C1351
Al Bab,A'rima,Sunbula - Saboyran,NA,NA,1070,NA,NA,NA,NA,NA,NA,1070,400,C1332
Afrin,Raju,Shekh Bilal,NA,NA,NA,NA,30,NA,1040,NA,NA,1070,822,C6402
Jebel Saman,Atareb,Kafr Taal,NA,NA,1060,NA,NA,NA,NA,NA,NA,1060,1196,C1037
Afrin,Jandairis,Jalaq (Jandairis),NA,NA,1050,NA,NA,NA,NA,NA,NA,1050,865,C1425
Afrin,Sharan,Marsawa,50,NA,990,NA,NA,NA,NA,NA,NA,1040,837,C1523
Ariha,Ariha,Ma'ar Tab'i,NA,1,667,26,NA,NA,324,NA,NA,1018,850,C6712
Afrin,Bulbul,Khader,35,NA,975,NA,NA,NA,NA,NA,NA,1010,1506,C1394
Idleb,Idleb,Nayrab,NA,8,NA,NA,NA,NA,1000,NA,NA,1008,2989,C3867
A'zaz,Suran,Hiwar Kalas,NA,NA,1007,NA,NA,NA,NA,NA,NA,1007,1608,C1661
Afrin,Ma'btali,Upper Al-Thahrah,NA,NA,1007,NA,NA,NA,NA,NA,NA,1007,733,C8219
A'zaz,Suran,Qazal,NA,NA,1005,NA,NA,NA,NA,NA,NA,1005,1165,C6421
Jarablus,Ghandorah,Bilis,NA,NA,1002,NA,NA,NA,NA,NA,NA,1002,281,C2246
Jebel Saman,Atareb,Kafr Amma,NA,NA,1000,NA,NA,NA,NA,NA,NA,1000,904,C1033
A'zaz,Suran,Mreigel,NA,NA,974,NA,NA,NA,NA,NA,NA,974,2145,C1670
Idleb,Idleb,Bruma (Idleb),NA,NA,705,261,NA,NA,NA,NA,NA,966,1396,C8021
Jarablus,Ghandorah,Yaqoubyah,NA,NA,960,NA,NA,NA,NA,NA,NA,960,99,C8262
Idleb,Idleb,Northern Ora,NA,NA,693,227,38,NA,NA,NA,NA,958,1801,C3874
Afrin,Bulbul,Qastal Miqdad,55,NA,865,NA,NA,NA,NA,NA,NA,920,2377,C1416
Afrin,Sharan,Zaytuneh (Sharan),55,NA,660,NA,194,NA,NA,NA,NA,909,327,C1499
Afrin,Jandairis,Kordan,105,NA,174,1,NA,NA,626,NA,NA,906,330,C1445
Afrin,Bulbul,Samha Kilani,NA,NA,855,42,NA,NA,NA,NA,NA,897,720,C1392
Al Bab,Al Bab,Ghuz,NA,NA,894,NA,NA,NA,NA,NA,NA,894,529,C8132
Idleb,Teftnaz,Ketyan,NA,NA,864,NA,NA,NA,NA,NA,NA,864,2297,C3936
Jarablus,Ghandorah,Al Burhaniyah,NA,NA,856,NA,NA,NA,NA,NA,NA,856,130,C7611
Al Bab,Tadaf,Tadaf,NA,NA,855,NA,NA,NA,NA,NA,NA,855,1440,C1219
Jarablus,Jarablus,Bablan,NA,NA,819,30,NA,NA,NA,NA,NA,849,277,C8264
Jebel Saman,Daret Azza,Arhab,NA,NA,750,96,NA,NA,NA,NA,NA,846,1288,C1142
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Kafir (Jisr-Ash-Shugur),NA,2,NA,824,NA,NA,NA,NA,NA,826,1969,C4205
Jisr-Ash-Shugur,Darkosh,Kharab Amer,NA,NA,265,548,NA,NA,NA,NA,NA,813,839,C6638
A'zaz,Aghtrin,Khirbet tall Shair,NA,NA,NA,NA,NA,NA,810,NA,NA,810,135,C7559
Jarablus,Ghandorah,Tal Aghbar - Tal Elagher,NA,NA,807,NA,NA,NA,NA,NA,NA,807,407,C2260
A'zaz,Suran,Baraghideh,NA,2,305,NA,308,191,NA,NA,NA,806,3331,C1663
Afrin,Sharan,Sim Omariyeh,125,NA,680,NA,NA,NA,NA,NA,NA,805,515,C1517
Afrin,Raju,Tholathiyeh,NA,NA,802,NA,NA,NA,NA,NA,NA,802,1926,C1469
Afrin,Ma'btali,Jazruniyeh,NA,NA,800,NA,NA,NA,NA,NA,NA,800,793,C1551
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Salhiyeh (Jisr-Ash-Shugur),NA,NA,NA,787,NA,NA,NA,NA,NA,787,320,C4192
Al Bab,Al Bab,Sheikh Elwan,NA,NA,NA,NA,NA,NA,777,NA,NA,777,1643,C1196
Idleb,Idleb,Bshmaron,NA,NA,NA,76,NA,NA,695,NA,NA,771,195,C6689
Afrin,Raju,Murtafiah (Raju),NA,NA,764,NA,NA,NA,NA,NA,NA,764,422,C1460
Afrin,Raju,Musiyeh - Oba Si,NA,NA,752,NA,NA,NA,NA,NA,NA,752,1352,C1487
Idleb,Idleb,Kreiz,NA,NA,580,161,NA,NA,NA,NA,NA,741,4003,C3869
Ariha,Mhambal,Kafrmid,NA,NA,10,728,NA,NA,NA,NA,NA,738,973,C4329
Afrin,Jandairis,Tal Hamo,210,NA,497,20,NA,NA,NA,NA,NA,727,383,C1430
Afrin,Ma'btali,Jomrokiyeh,693,NA,16,NA,NA,NA,NA,NA,NA,709,1055,C1544
Harim,Kafr Takharim,Kafr Kila,NA,0,NA,687,NA,NA,NA,NA,NA,687,1781,C4158
Afrin,Bulbul,Mudallala Afrin - Eastern Kotanly,105,NA,580,NA,NA,NA,NA,NA,NA,685,1196,C1413
Ariha,Ariha,Badriyeh (Ariha),NA,NA,627,40,14,NA,NA,NA,NA,681,684,C6609
Ariha,Mhambal,Qrsaya,NA,NA,681,NA,NA,NA,NA,NA,NA,681,784,C6615
Harim,Salqin,Jakara,489,0,192,NA,NA,NA,NA,NA,NA,681,638,C6622
Afrin,Ma'btali,Hamu Raju,NA,NA,680,NA,NA,NA,NA,NA,NA,680,1032,C1538
Afrin,Afrin,Tellef,NA,NA,655,NA,NA,NA,NA,NA,NA,655,651,C1355
A'zaz,Aghtrin,Aziziyeh (Aghtrin),NA,NA,NA,651,NA,NA,NA,NA,NA,651,1500,C1578
Ariha,Mhambal,Matleh Ariha,NA,NA,587,48,NA,NA,NA,NA,NA,635,662,C4317
Jarablus,Ghandorah,Hfeira,NA,NA,632,NA,NA,NA,NA,NA,NA,632,518,C2243
Afrin,Afrin,Tal Tawil (Afrin),NA,NA,624,NA,6,NA,NA,NA,NA,630,1415,C6333
Afrin,Afrin,Burj Slaiman,NA,NA,NA,NA,621,NA,NA,NA,NA,621,279,C8123
Jarablus,Ghandorah,Big Qantara,NA,NA,620,NA,NA,NA,NA,NA,NA,620,451,C2267
Afrin,Sharan,Kafroum,608,NA,7,NA,NA,NA,NA,NA,NA,615,1000,C1522
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Ghassaniyeh (Jisr-Ash-Shugur),NA,NA,580,26,NA,NA,NA,NA,NA,606,881,C4203
Jarablus,Ghandorah,Big Mortafaa,NA,NA,586,NA,NA,NA,NA,NA,NA,586,423,C2265
Afrin,Bulbul,Za'ra,5,NA,575,NA,NA,NA,NA,NA,NA,580,1264,C1406
A'zaz,Aghtrin,Qorra Mazraa,NA,NA,572,NA,NA,NA,NA,NA,NA,572,712,C1612
Afrin,Sharan,Qatireh,NA,NA,NA,NA,NA,NA,566,NA,NA,566,1037,C1519
Ariha,Mhambal,Sahen,NA,2,275,270,NA,NA,NA,NA,NA,547,1691,C4327
A'zaz,A'zaz,Sijraz,NA,NA,460,84,1,NA,NA,NA,NA,545,614,C1556
Afrin,Raju,Bilaliyeh - Blaliko,NA,NA,543,NA,NA,NA,NA,NA,NA,543,606,C1468
Afrin,Raju,Atman (Raju),NA,2,528,NA,NA,NA,NA,NA,NA,530,792,C1481
A'zaz,Aghtrin,Gheilaniyeh,NA,NA,NA,527,NA,NA,NA,NA,NA,527,977,C1608
Afrin,Bulbul,Khalil - Khleilak,25,NA,495,NA,2,NA,NA,NA,NA,522,863,C1404
Afrin,Bulbul,Dik,45,NA,445,24,NA,NA,NA,NA,NA,514,480,C1398
Afrin,Ma'btali,Smal,NA,NA,480,34,NA,NA,NA,NA,NA,514,471,C1550
A'zaz,Aghtrin,Ghorur,NA,2,300,204,NA,NA,NA,NA,NA,506,3637,C1603
Ariha,Mhambal,Alyeh (Mhambal),NA,NA,NA,499,NA,NA,NA,NA,NA,499,690,C6613
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Marj Elzohur,NA,NA,NA,461,33,NA,NA,NA,NA,494,2303,C4221
Afrin,Bulbul,Marwiyeh (Bulbul),25,NA,455,NA,NA,NA,NA,NA,NA,480,1366,C1414
Afrin,Bulbul,Yabseh (Bulbul),75,NA,395,NA,NA,NA,NA,NA,NA,470,1270,C1401
Idleb,Idleb,Ein Shib,NA,10,140,313,NA,NA,NA,NA,NA,463,3128,C3868
Ariha,Mhambal,Hila Dam,NA,NA,NA,444,10,NA,NA,NA,NA,454,807,C8384
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Eshtabraq,NA,NA,380,50,18,NA,NA,NA,NA,448,393,C4198
Afrin,Bulbul,Beylan,20,NA,420,NA,NA,NA,NA,NA,NA,440,663,C8263
Afrin,Sharan,Doraq,29,NA,405,NA,NA,NA,NA,NA,NA,434,1980,C1506
Jisr-Ash-Shugur,Darkosh,al Mansourah,NA,NA,NA,429,NA,NA,NA,NA,NA,429,456,C8408
Idleb,Idleb,Tab Issa - Eastern And Western,NA,NA,416,NA,NA,NA,NA,NA,NA,416,1293,C3870
Afrin,Bulbul,Obudan,30,NA,375,NA,NA,NA,NA,NA,NA,405,1383,C1395
