admin4pcode,beneficiaries,cluster
C6692,93809,WASH
C6693,19901,WASH
C6694,0,WASH
C6695,0,WASH
C6696,0,WASH
C6712,324,WASH
C6715,0,WASH
C6724,2600,WASH
C6732,876,WASH
C6737,1354,WASH
C6741,352,WASH
C6750,320,WASH
C6755,34221,WASH
C6766,372,WASH
C7259,0,WASH
C7407,0,WASH
C7466,2994,WASH
C7490,331,WASH
C7509,711,WASH
C7515,884,WASH
C7559,0,WASH
C7567,0,WASH
C7598,2164,WASH
C7629,0,WASH
C7665,0,WASH
C7958,0,WASH
C8014,1372,WASH
C8116,568,WASH
C8150,478,WASH
C8156,387,WASH
C8160,375,WASH
C8166,529,WASH
C8184,605,WASH
C8196,4165,WASH
C8199,343,WASH
C8209,1879,WASH
C8223,0,WASH
C8265,9250,WASH
C8338,263,WASH
C8339,0,WASH
C1020,270,Cash
C1021,2515,Cash
C1022,9764,Cash
C1023,3684,Cash
C1025,3264,Cash
C1026,5830,Cash
C1030,3136,Cash
C1032,4914,Cash
C1035,4374,Cash
C1036,3256,Cash
C1038,2612,Cash
C1138,392,Cash
C1139,11396,Cash
C1143,1435,Cash
C1188,799,Cash
C1202,5520,Cash
C1209,822,Cash
C1352,25,Cash
C1359,150,Cash
C1362,795,Cash
C1366,22417,Cash
C1372,50,Cash
C1374,65,Cash
C1376,255,Cash
C1381,175,Cash
C1382,15,Cash
C1386,125,Cash
C1388,125,Cash
C1391,1405,Cash
C1394,35,Cash
C1395,30,Cash
C1397,30,Cash
C1398,45,Cash
C1399,5,Cash
C1400,5,Cash
C1401,75,Cash
C1402,30,Cash
C1403,65,Cash
C1404,25,Cash
C1405,15,Cash
C1406,5,Cash
C1407,5,Cash
C1408,15,Cash
C1411,5,Cash
C1412,20,Cash
C1413,105,Cash
C1414,25,Cash
C1415,5,Cash
C1416,55,Cash
C1417,15,Cash
C1418,25,Cash
C1419,415,Cash
C1420,0,Cash
C1421,295,Cash
C1422,880,Cash
C1423,455,Cash
C1426,48961,Cash
C1428,615,Cash
C1430,210,Cash
C1431,1198,Cash
C1433,1082,Cash
C1435,210,Cash
C1436,400,Cash
C1437,825,Cash
C1438,130,Cash
C1439,445,Cash
C1441,255,Cash
C1444,650,Cash
C1445,105,Cash
C1447,1125,Cash
C1449,1245,Cash
C1484,137,Cash
C1493,125,Cash
C1494,350,Cash
C1495,47,Cash
C1497,2940,Cash
C1498,2110,Cash
C1499,55,Cash
C1500,160,Cash
C1501,183,Cash
C1504,295,Cash
C1506,29,Cash
C1507,210,Cash
C1508,41,Cash
C1510,245,Cash
C1511,195,Cash
C1512,182,Cash
C1514,390,Cash
C1515,900,Cash
C1517,125,Cash
C1518,1269,Cash
C1520,3830,Cash
C1521,550,Cash
C1522,608,Cash
C1523,50,Cash
C1524,3645,Cash
C1544,693,Cash
C1548,634,Cash
C1552,550,Cash
C1555,481,Cash
C1561,680,Cash
C1564,8497,Cash
C1581,70,Cash
C1643,363,Cash
C1664,519,Cash
C2227,2170,Cash
C3871,11183,Cash
C3873,323,Cash
C3879,355,Cash
C3904,3750,Cash
C3905,1485,Cash
C3906,1160,Cash
C3932,2500,Cash
C3937,41,Cash
C3938,3488,Cash
C3939,532,Cash
C3940,327,Cash
C3943,2120,Cash
C3944,2049,Cash
C3945,55,Cash
C3946,348,Cash
C3947,7108,Cash
C3949,4887,Cash
C3950,3440,Cash
C3951,348,Cash
C4114,1204,Cash
C4115,42918,Cash
C4116,1844,Cash
C4121,5782,Cash
C4122,2193,Cash
C4123,359,Cash
C4124,2200,Cash
C4125,3058,Cash
C4126,24460,Cash
C4127,342,Cash
C4129,8777,Cash
