admin1pcode,admin2pcode,admin3pcode,admin4pcode,beneficiaries,beneficiary_frequencies,clusters,total_pop,wounded_dead,wounded_dead_100k,damaged_houses,damaged_houses_100k,eq_score,cash_ben,pc_ben_freq,pc_ben
SY02,SY0203,SY020304,C1519,221,566,1,1037,NA,NA,NA,NA,NA,NA,0.5458052073288332,0.21311475409836064
SY02,SY0203,SY020305,C1526,115,115,1,755,NA,NA,NA,NA,NA,NA,0.152317880794702,0.152317880794702
SY02,SY0203,SY020305,C1527,135,135,1,1019,6,588.8125613346418,42,4121.687929342493,0.03704012139519363,NA,0.1324828263002944,0.1324828263002944
SY02,SY0203,SY020305,C1528,165,165,1,961,18,1873.0489073881372,49,5098.855359001041,0.05431754223431302,NA,0.1716961498439126,0.1716961498439126
SY02,SY0203,SY020305,C1529,155,155,1,1113,6,539.0835579514825,80,7187.780772686433,0.06161421943648295,NA,0.13926325247079965,0.13926325247079965
SY02,SY0203,SY020305,C1530,145,145,1,1182,30,2538.0710659898477,40,3384.09475465313,0.047541477336402044,NA,0.12267343485617598,0.12267343485617598
SY02,SY0203,SY020305,C1531,65,65,1,344,NA,NA,NA,NA,NA,NA,0.18895348837209303,0.18895348837209303
SY02,SY0203,SY020305,C1532,50,50,1,461,NA,NA,NA,NA,NA,NA,0.10845986984815618,0.10845986984815618
SY02,SY0203,SY020305,C1533,35,35,1,495,0,0,42,8484.848484848486,0.061628508577867135,NA,0.0707070707070707,0.0707070707070707
SY02,SY0203,SY020305,C1534,25,25,1,244,0,0,20,8196.721311475409,0.057155367730544304,NA,0.10245901639344263,0.10245901639344263
SY02,SY0203,SY020306,C1537,8,8,1,351,NA,NA,NA,NA,NA,NA,0.022792022792022793,0.022792022792022793
SY02,SY0203,SY020306,C1541,109,109,1,405,NA,NA,NA,NA,NA,NA,0.2691358024691358,0.2691358024691358
SY02,SY0203,SY020306,C1545,119,119,1,520,NA,NA,NA,NA,NA,NA,0.22884615384615384,0.22884615384615384
SY02,SY0203,SY020306,C1549,267,267,1,570,NA,NA,NA,NA,NA,NA,0.46842105263157896,0.46842105263157896
SY02,SY0203,SY020306,C1553,176,176,1,624,NA,NA,NA,NA,NA,NA,0.28205128205128205,0.28205128205128205
SY07,SY0703,SY070301,C4123,5021,13175,5,30361,0,0,1,3.2936991535193174,1.3773621769727447e-4,401,0.43394486347617006,0.16537663449820494
SY07,SY0703,SY070301,C4128,963,6585,4,14361,NA,NA,NA,NA,NA,NA,0.4585335283058283,0.06705661165656987
SY07,SY0703,SY070303,C4158,215,687,2,1781,NA,NA,NA,NA,NA,NA,0.3857383492419989,0.12071869736103313
SY07,SY0703,SY070303,C4159,1,2,1,645,NA,NA,NA,NA,NA,NA,0.0031007751937984496,0.0015503875968992248
SY07,SY0703,SY070305,C4177,337,339,2,2345,NA,NA,NA,NA,NA,NA,0.14456289978678039,0.14371002132196162
SY07,SY0704,SY070400,C4187,38,86,2,1139,NA,NA,NA,NA,NA,NA,0.07550482879719052,0.033362598770851626
SY07,SY0704,SY070400,C4189,104,205,1,1182,NA,NA,NA,NA,NA,NA,0.17343485617597293,0.08798646362098139
SY07,SY0704,SY070400,C4193,185,2394,3,5846,15,256.5856996236743,2,34.21142661648991,0.003742730664607163,NA,0.4095107765993842,0.03164556962025317
SY07,SY0704,SY070400,C4194,21,77,2,2587,NA,NA,NA,NA,NA,NA,0.029764205643602628,0.008117510630073444
SY07,SY0704,SY070400,C4195,6,12,1,371,NA,NA,NA,NA,NA,NA,0.03234501347708895,0.016172506738544475
SY07,SY0704,SY070400,C4200,620,1183,3,2052,NA,NA,NA,NA,NA,NA,0.5765107212475633,0.30214424951267055
SY07,SY0704,SY070400,C4205,146,826,2,1969,NA,NA,NA,NA,NA,NA,0.41950228542407314,0.07414931437277807
SY07,SY0704,SY070400,C4206,31,87,1,3272,NA,NA,NA,NA,NA,NA,0.026589242053789732,0.009474327628361858
SY07,SY0704,SY070400,C4207,1,2,2,239,NA,NA,NA,NA,NA,NA,0.008368200836820083,0.0041841004184100415
SY07,SY0704,SY070400,C4212,879,5118,4,10117,4,39.53741227636651,10,98.84353069091628,0.002498105974519829,NA,0.5058811900761095,0.0868834634773154
SY07,SY0704,SY070400,C4214,1,2,1,1237,0,0,2,161.68148746968473,0.0013131525065576374,NA,0.0016168148746968471,8.084074373484236e-4
SY07,SY0704,SY070400,C4215,724,5189,4,9858,1,10.144045445323595,0,0,1.717044701043836e-4,NA,0.5263745181578413,0.07344288902414282
SY07,SY0704,SY070400,C4219,261,275,3,2832,NA,NA,NA,NA,NA,NA,0.0971045197740113,0.09216101694915255
SY07,SY0704,SY070400,C4220,134,294,2,915,NA,NA,NA,NA,NA,268,0.32131147540983607,0.146448087431694
SY07,SY0704,SY070400,C4221,143,494,2,2303,NA,NA,NA,NA,NA,NA,0.21450282240555796,0.062092922275293096
SY07,SY0704,SY070401,C4227,1513,1513,1,2801,2,71.403070332024285,94,3355.944305605141,0.03401858633073596,NA,0.5401642270617637,0.5401642270617637
SY07,SY0704,SY070402,C4244,350,350,1,821,NA,NA,NA,NA,NA,NA,0.42630937880633374,0.42630937880633374
SY02,SY0203,SY020300,C6333,624,630,2,1415,NA,NA,NA,NA,NA,NA,0.4452296819787986,0.44098939929328623
SY02,SY0203,SY020300,C6394,144,144,1,492,NA,NA,NA,NA,NA,NA,0.2926829268292683,0.2926829268292683
SY02,SY0203,SY020300,C6395,134,134,1,1378,NA,NA,NA,NA,NA,NA,0.09724238026124818,0.09724238026124818
SY02,SY0203,SY020305,C6406,35,35,1,113,NA,NA,NA,NA,NA,NA,0.30973451327433627,0.30973451327433627
SY07,SY0704,SY070402,C6637,52,174,1,466,NA,NA,NA,NA,NA,NA,0.37339055793991416,0.11158798283261803
SY07,SY0704,SY070402,C6639,63,216,3,454,NA,NA,NA,NA,NA,NA,0.47577092511013214,0.13876651982378854
SY07,SY0704,SY070400,C6641,73,73,1,578,NA,NA,NA,NA,NA,73,0.12629757785467127,0.12629757785467127
SY07,SY0704,SY070400,C6697,55,262,1,495,0,0,2,404.04040404040404,0.002934690884660339,NA,0.5292929292929293,0.1111111111111111
SY07,SY0704,SY070402,C6701,110,110,1,485,NA,NA,NA,NA,NA,NA,0.2268041237113402,0.2268041237113402
SY07,SY0704,SY070403,C6731,4,7,1,1736,NA,NA,NA,NA,NA,NA,0.004032258064516129,0.002304147465437788
