admin1pcode,governorate,admin2pcode,district,admin3pcode,sub_district,admin4pcode,community,is_2022,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,cumulative,activity,cluster
SY02,Aleppo,SY0200,Jebel Saman,SY020000,Jebel Saman,C8054,Al Huweiz,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020000,Jebel Saman,C8062,Khalidiyeh,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020000,Jebel Saman,C8063,Khirbet Marata,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020000,Jebel Saman,C8066,Shurfah,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020000,Jebel Saman,C8067,Al-Kalariyah,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020000,Jebel Saman,C8068,Hikma,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020000,Jebel Saman,C8081,Shweihneh,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020000,Jebel Saman,C8098,Al-Brij,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020000,Jebel Saman,C8129,Kafr Tunah,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020000,Jebel Saman,C8131,Hleisah,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020000,Jebel Saman,C8136,Tal Susin,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020000,Jebel Saman,C8138,Kafr Qares,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C1019,Qanater (Atareb),NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C1020,Tuwama,NA,8695,8273,9968,NA,NA,NA,NA,NA,NA,NA,NA,NA,9968,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C1021,Babka,NA,23230,23777,21162,NA,NA,NA,NA,NA,NA,NA,NA,NA,23777,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C1022,Atareb,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C1023,Sahara,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C1024,Oweijel,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C1025,Batbu,NA,26482,24789,25432,NA,NA,NA,NA,NA,NA,NA,NA,NA,26482,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C1026,Abin Samaan,NA,3424,3823,3605,NA,NA,NA,NA,NA,NA,NA,NA,NA,3823,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C1027,Little Orm,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C1028,Tadil,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C1029,Big Orm,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C1030,Abzemo,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C1031,Sheikh Ali (Atareb),NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C1032,Jeineh,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C1033,Kafr Amma,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C1034,Kafr Naha,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C1035,Kafr Karmin,NA,5328,5310,5809,NA,NA,NA,NA,NA,NA,NA,NA,NA,5809,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C1036,Kafr Naseh Elatareb,NA,3099,2092,3014,NA,NA,NA,NA,NA,NA,NA,NA,NA,3099,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C1037,Kafr Taal,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C1038,Maaret Atarib,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C1039,Kafr Aleppo,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C1040,Western Kafr Jum,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C1041,Kafr Noran,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C6424,Halazon,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C6679,Mezanaz,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C6680,Arnaz,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C6753,Ajel,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C7348,Al Radwan,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C7359,Jamiyat al Rahal,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020001,Atareb,C8065,Jameyt Al-Arman,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1042,Rasm Eljahsh,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1043,Aabad (Tall Ed-daman),NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1044,Batranah,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1045,Eliyeh (Tall Ed-daman),NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1046,Tabara Elksheir,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1047,Jeb Elkhafi Simaan,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1048,Abu Rweil,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1049,Jeb Eleis,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1050,Tal Masih,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1051,Establat (Tall Ed-daman),NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1052,Sayah - Sayah Thahriyeh,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1053,Um Elamad Qabli,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1054,Numaniyeh,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1055,Um Tmakh Samaan,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1056,Um Elhoteh,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1057,Arjel,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1058,Tall Ed-Daman,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
